GEOID,total_claims,total_payout,years_with_claims,Q100yr_best,Q10yr_gev,best_model,n_obs,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index
48087,3.0,16916.559999999998,3,159901.9058044029,2961477.1965616755,LP3,67.0,0.4592040671423103,52045,Collingsworth County,0.0,0.0,1.0,52.6,5.41
48193,0.0,0.0,0,48413.81530841268,3404472.802410492,LP3,67.0,1.1188075653281415,54890,Hamilton County,0.0,0.0,2.8,49.9,5.41
48365,0.0,0.0,0,88161.23765237472,1364551.4878189126,LP3,81.0,1.784912737982993,58205,Panola County,0.0,0.0,4.6,47.0,5.39
48305,1.0,21727.04,1,,,,,0.5980405657199361,52996,Lynn County,0.0,0.0,1.4,51.7,5.38
48279,0.0,0.0,0,,,,,0.903329776427102,54519,Lamb County,0.0,0.0,2.2,50.2,5.35
48217,2.0,156149.19,1,63580.677998425606,4961653.865068277,LP3,80.0,2.147778944303153,60669,Hill County,0.0,0.0,5.5,45.1,5.34
48307,0.0,0.0,0,92137.96684121342,410264.3883557017,LP3,79.0,0.5564772795678253,53214,McCulloch County,0.0,0.0,1.3,51.4,5.34
48023,0.0,0.0,0,88391.79009321163,8127026.827653323,LP3,95.0,0.4734883437555792,52716,Baylor County,0.0,0.0,1.0,51.9,5.34
48221,20.0,128126.68000000001,6,,,,,4.51281221216667,80013,Hood County,0.3,0.0,11.9,34.2,5.32
48391,5.0,59586.74,3,66518.20404379317,4566599.900651583,LP3,72.0,0.6778794227548567,54304,Refugio County,0.1,0.0,1.6,50.4,5.32
48271,0.0,0.0,0,350272.3890040964,1543042.7714720836,LP3,86.0,0.2694748636071376,52386,Kinney County,0.0,0.0,0.5,52.3,5.31
48483,0.0,0.0,0,21126.575224660075,1871371.902566426,LP3,61.0,1.5700528216946,58158,Wheeler County,0.0,0.0,4.0,47.1,5.31
48461,0.0,0.0,0,,,,,0.9450619187286404,55284,Upton County,0.0,0.0,2.3,49.5,5.3
48057,55.0,1917203.53,6,,,,,1.5973284659885418,62267,Calhoun County,0.7,0.0,4.1,44.0,5.3
48073,10.0,67274.62,3,38137.94304883652,5315264.53857334,LP3,85.0,1.1513835186989487,56971,Cherokee County,0.1,0.0,2.9,48.0,5.28
48395,2.0,0.0,2,66117.39042692485,3102272.1895579607,LP3,31.0,1.7169550056351324,59410,Robertson County,0.0,0.0,4.4,46.1,5.27
48469,20.0,298917.07,5,262457.73226408765,7740174.250846556,LP3,87.0,2.5995064554871643,66308,Victoria County,0.3,0.0,6.7,41.3,5.26
48143,3.0,83936.42,2,88284.28605040004,2260591.1135123395,LP3,23.0,1.7198772955270902,59654,Erath County,0.0,0.0,4.4,45.9,5.25
48331,0.0,0.0,0,256228.54712596256,17100936.164893392,LP3,94.0,1.216422942613512,56985,Milam County,0.0,0.0,3.0,48.0,5.25
48001,4.0,82475.94,2,136187.10292522804,28790411.539773967,LP3,89.0,1.1541163595454187,57445,Anderson County,0.1,0.0,2.9,47.7,5.24
48093,0.0,0.0,0,36627.455631987556,1024174.0989423885,LP3,79.0,1.2598601406805547,57383,Comanche County,0.0,0.0,3.1,47.7,5.24
48463,1.0,24047.12,1,397817.2540828728,6908002.908482239,LP3,95.0,0.7180696033469088,55000,Uvalde County,0.0,0.0,1.7,49.8,5.24
48199,109.0,4243851.0600000005,6,112676.06543168765,3404.6809040730336,LP3,100.0,2.025109789991552,70164,Hardin County,1.4,0.0,5.2,39.0,5.24
