GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48183,95,1130.4202993138383,3886340.005535811,297830644470.4635,34589196709028.703,-6.809939403035081,2424.757583230634,13182.5968975496,39806.912175900055,76299.21271864545,95738.21696548644,250.14786062218536,95738.21696548644,LP3
48185,10,602.5745124479781,689622.7283537551,147102603144.73706,26341925843500.09,-7.430117788412769,215.43361748218192,14695.181149174108,27253.038801983395,28799.49843951562,28921.26378322755,16.643131956216244,28921.26378322755,LP3
48187,27,194.9031680362795,2747283.8364270465,113556690915.80194,10157668520628.031,-6.435998291823999,599.0262954028135,4561.996952909906,25235.523014876224,54360.66783524733,68310.6275847406,105.83062374725984,68310.6275847406,LP3
48189,55,15.811261362524457,28.47897665558809,71.05830779307772,113.24333011745784,-0.7714267972729274,1137.4223328755345,188.73783740875496,1747.1619453997023,8329.405815679693,15063.997262825136,210.3475552402504,15063.997262825136,LP3
48191,52,2992.2834350448584,21860348.419458855,1244687884944.7278,127484383747712.6,-6.629961335337573,1287.394990563779,15664.616072701874,46067.84227957945,86527.3306374283,107715.0089618286,137.57948402376593,107715.0089618286,LP3
48193,67,524.9961582921295,3404472.802410492,179414981661.7754,17785090343968.25,-6.583134825138529,1581.4044583265973,6060.3837177871455,19368.71047473075,38222.78425017815,48413.81530841268,185.3920918380949,48413.81530841268,LP3
48195,51,22.416042836136604,456500.6797772009,2968972907.7984886,121518598483.32538,-5.316234701386131,1036.1234765023748,1415.9056369405448,7751.240373123636,16795.095891335193,21184.823067080317,193.4297429945032,21184.823067080317,LP3
48197,79,136.55889726322044,3603952.9220495154,181995735161.29025,17717600784936.734,-6.557234694606963,1838.184557971192,4196.830203632596,40957.18368918213,188570.59535687993,332609.9592751477,309.28827166765217,332609.9592751477,LP3
48199,100,3360.2329677140965,3404.6809040730336,7807.683544264676,34462.53521349246,-2.78555726929818,3052.646170298231,24806.660185807417,57989.96567791451,94974.92563412969,112676.06543168765,211.85280046435153,112676.06543168765,LP3
48201,96,312.75741774903963,27360189.846187662,6088916213482.552,1109666790314868.0,-7.455265200012362,2519.3781226925594,17425.28292985293,62184.09589497744,127261.1565108458,162419.5722627744,284.637715172393,162419.5722627744,LP3
48203,24,90.68017170714688,2611597.579841803,104640623916.69383,9237646668871.855,-6.417133731791296,478.8415748229661,4720.637008271942,23125.182220416737,31074.290137733333,32472.417451851157,100.36837320113456,32472.417451851157,LP3
48205,19,1.6586806756857786,10.480166357336294,47.161917454330045,88.43301680667122,-0.8955285849322837,420.2551831006066,234.90434032985192,3838.190690946314,15881.749220693242,25074.07087557307,92.95813201253738,25074.07087557307,LP3
48207,24,359.4226608940723,6144958.955050745,1248160028158.225,218857254996896.84,-7.399987131497907,467.1545716024198,1404.227236339403,3206.3351918150206,5352.659804746538,6431.540594547744,52.088172135125376,6431.540594547744,LP3
48209,89,39.74440914852324,1068235.8385700055,11946282139.18881,614876414344.0709,-5.644430721105479,2162.2437311669314,9145.568744319182,57629.7633546264,122248.44058857196,150865.37212797548,353.8292517711311,150865.37212797548,LP3
48211,78,108.83276510227472,2705751.2360460907,110821779358.1882,9874647817595.678,-6.430442056733872,1780.962335288539,4749.13327148091,38908.27196738346,106715.35349575063,145977.89688053945,322.59484826758654,145977.89688053945,LP3
48213,75,3744.878897017332,4585295.579115461,189230289569.18268,16920725288956.904,-6.435493791297882,1990.8482227556176,29185.020871879136,65941.76546370552,92494.79393825408,101781.96328530752,176.14993170967225,101781.96328530752,LP3
48215,38,3608.183603621288,1580952.1362798589,8436447354.8582115,317891932689.1896,-5.197788129202208,958.3919534220717,32983.601991807845,73060.06257898171,81761.0271926201,82841.59286101047,103.2232905198923,82841.59286101047,LP3
48217,80,41.06279896700562,4961653.865068277,180893323019.44177,15344278497448.098,-6.359958819735663,2009.364805970341,11762.1612819325,35099.675873730215,55708.33195203377,63580.677998425606,233.54606899884192,63580.677998425606,LP3
48225,54,5563.4045218482925,19486708.358693853,16366367435201.023,5229950811125434.0,-8.259583779727363,1473.669469064919,36929.31365516416,73076.56325579918,99579.87113036714,109256.9129486982,106.0102041586298,109256.9129486982,LP3
48227,24,225.1384197051791,1552.650250737997,7774.164077364774,15286.10414255096,-0.9655095116042028,355.14119899699904,242.49562624010645,1477.2964140129843,4612.162225755417,6956.196202129165,89.20046977889164,6956.196202129165,LP3
48229,18,77.41841749705435,147.84022054085318,182.69394464058644,192.6971915242138,0.3214512024515259,201.66722144012903,82.72695692193578,158.79900891575687,172.9353497576561,174.54486027483344,51.90049428115415,174.54486027483344,LP3
48231,60,1084.5429808779268,1445.1234879584763,17780.086532509085,85132.85252300951,-2.314525240067522,1610.2676157250603,11196.881108152294,20113.737200240656,24492.685310077548,25693.878307321273,109.59184785349304,25693.878307321273,LP3
48233,15,113.37590791587589,57347.65136472653,641506599.0062975,33049377260.13423,-5.645773465805597,278.3144118348325,1541.626573035392,3246.3114790859295,3571.152506549313,3607.6349648302,40.26016200687186,3607.6349648302,LP3
48235,53,20.728927570680582,298801.2350765622,1335489149.3445451,46645149438.223625,-5.08911132849716,1049.927712347952,1882.824424161836,10402.505156950989,14210.997173610956,14875.73236171255,222.3827110098648,14875.73236171255,LP3
